zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
27006,35.94352,-80.43673,Advance,NC,North Carolina,TRUE,,15825,97.3,37059,Davie,"{""37059"": 100}",Davie,37059,FALSE,FALSE,America/New_York
27007,36.38799,-80.59144,Ararat,NC,North Carolina,TRUE,,2187,41,37171,Surry,"{""37171"": 100}",Surry,37171,FALSE,FALSE,America/New_York
27009,36.23089,-80.07927,Belews Creek,NC,North Carolina,TRUE,,3486,81.5,37067,Forsyth,"{""37067"": 90.74, ""37169"": 9.26}",Forsyth|Stokes,37067|37169,FALSE,FALSE,America/New_York
27011,36.21649,-80.69728,Boonville,NC,North Carolina,TRUE,,4853,36.4,37197,Yadkin,"{""37197"": 100}",Yadkin,37197,FALSE,FALSE,America/New_York
27012,36.00434,-80.37547,Clemmons,NC,North Carolina,TRUE,,28173,259,37067,Forsyth,"{""37067"": 62.13, ""37057"": 37.87}",Forsyth|Davidson,37067|37057,FALSE,FALSE,America/New_York
27013,35.75633,-80.70235,Cleveland,NC,North Carolina,TRUE,,6740,34.5,37159,Rowan,"{""37159"": 80.7, ""37097"": 19.3}",Rowan|Iredell,37159|37097,FALSE,FALSE,America/New_York
27014,35.8121,-80.55508,Cooleemee,NC,North Carolina,TRUE,,803,497.3,37059,Davie,"{""37059"": 100}",Davie,37059,FALSE,FALSE,America/New_York
27016,36.44318,-80.2219,Danbury,NC,North Carolina,TRUE,,1759,15.2,37169,Stokes,"{""37169"": 100}",Stokes,37169,FALSE,FALSE,America/New_York
27017,36.38141,-80.76052,Dobson,NC,North Carolina,TRUE,,9271,33,37171,Surry,"{""37171"": 100}",Surry,37171,FALSE,FALSE,America/New_York
27018,36.1978,-80.52096,East Bend,NC,North Carolina,TRUE,,7701,36.1,37197,Yadkin,"{""37197"": 100}",Yadkin,37197,FALSE,FALSE,America/New_York
27019,36.28604,-80.23548,Germanton,NC,North Carolina,TRUE,,3391,36.6,37169,Stokes,"{""37169"": 68.23, ""37067"": 31.77}",Stokes|Forsyth,37169|37067,FALSE,FALSE,America/New_York
27020,36.1047,-80.81272,Hamptonville,NC,North Carolina,TRUE,,5747,29.1,37197,Yadkin,"{""37197"": 78.34, ""37097"": 13.92, ""37193"": 7.74}",Yadkin|Iredell|Wilkes,37197|37097|37193,FALSE,FALSE,America/New_York
27021,36.31859,-80.3386,King,NC,North Carolina,TRUE,,16678,119.8,37169,Stokes,"{""37169"": 99.31, ""37067"": 0.69}",Stokes|Forsyth,37169|37067,FALSE,FALSE,America/New_York
27022,36.51409,-80.21739,Lawsonville,NC,North Carolina,TRUE,,1081,12.6,37169,Stokes,"{""37169"": 100}",Stokes,37169,FALSE,FALSE,America/New_York
27023,36.09103,-80.45101,Lewisville,NC,North Carolina,TRUE,,13651,189.9,37067,Forsyth,"{""37067"": 100}",Forsyth,37067,FALSE,FALSE,America/New_York
27024,36.52399,-80.84027,Lowgap,NC,North Carolina,TRUE,,2243,19.9,37171,Surry,"{""37171"": 100}",Surry,37171,FALSE,FALSE,America/New_York
27025,36.3771,-79.97148,Madison,NC,North Carolina,TRUE,,12000,47.4,37157,Rockingham,"{""37157"": 71.89, ""37169"": 28.11}",Rockingham|Stokes,37157|37169,FALSE,FALSE,America/New_York
27027,36.4456,-79.98883,Mayodan,NC,North Carolina,TRUE,,4209,76.8,37157,Rockingham,"{""37157"": 100}",Rockingham,37157,FALSE,FALSE,America/New_York
27028,35.92433,-80.5742,Mocksville,NC,North Carolina,TRUE,,26025,52.1,37059,Davie,"{""37059"": 99.38, ""37097"": 0.62}",Davie|Iredell,37059|37097,FALSE,FALSE,America/New_York
27030,36.48836,-80.63013,Mount Airy,NC,North Carolina,TRUE,,37035,83.9,37171,Surry,"{""37171"": 95.73, ""37169"": 4.27}",Surry|Stokes,37171|37169,FALSE,FALSE,America/New_York
27040,36.16869,-80.38969,Pfafftown,NC,North Carolina,TRUE,,12778,187,37067,Forsyth,"{""37067"": 100}",Forsyth,37067,FALSE,FALSE,America/New_York
27041,36.41539,-80.48465,Pilot Mountain,NC,North Carolina,TRUE,,7475,47.8,37171,Surry,"{""37171"": 81.38, ""37169"": 18.62}",Surry|Stokes,37171|37169,FALSE,FALSE,America/New_York
27042,36.34177,-80.05434,Pine Hall,NC,North Carolina,TRUE,,177,9.5,37169,Stokes,"{""37169"": 100}",Stokes,37169,FALSE,FALSE,America/New_York
27043,36.33709,-80.44917,Pinnacle,NC,North Carolina,TRUE,,7224,40.8,37169,Stokes,"{""37169"": 52.27, ""37171"": 47.09, ""37067"": 0.64}",Stokes|Surry|Forsyth,37169|37171|37067,FALSE,FALSE,America/New_York
27045,36.23482,-80.29614,Rural Hall,NC,North Carolina,TRUE,,9906,163.7,37067,Forsyth,"{""37067"": 91.48, ""37169"": 8.52}",Forsyth|Stokes,37067|37169,FALSE,FALSE,America/New_York
27046,36.49228,-80.09223,Sandy Ridge,NC,North Carolina,TRUE,,2295,20.5,37169,Stokes,"{""37169"": 100}",Stokes,37169,FALSE,FALSE,America/New_York
27047,36.31178,-80.57786,Siloam,NC,North Carolina,TRUE,,1307,24.6,37171,Surry,"{""37171"": 100}",Surry,37171,FALSE,FALSE,America/New_York
27048,36.47611,-79.91295,Stoneville,NC,North Carolina,TRUE,,8324,38.6,37157,Rockingham,"{""37157"": 98.59, ""51089"": 1.41}",Rockingham|Henry,37157|51089,FALSE,FALSE,America/New_York
27050,36.23608,-80.40116,Tobaccoville,NC,North Carolina,TRUE,,3803,58.7,37067,Forsyth,"{""37067"": 87.0, ""37169"": 13.0}",Forsyth|Stokes,37067|37169,FALSE,FALSE,America/New_York
27051,36.18728,-80.16012,Walkertown,NC,North Carolina,TRUE,,8031,169.3,37067,Forsyth,"{""37067"": 100}",Forsyth,37067,FALSE,FALSE,America/New_York
27052,36.32259,-80.14552,Walnut Cove,NC,North Carolina,TRUE,,10726,41.8,37169,Stokes,"{""37169"": 89.04, ""37067"": 10.96}",Stokes|Forsyth,37169|37067,FALSE,FALSE,America/New_York
27053,36.47317,-80.34989,Westfield,NC,North Carolina,TRUE,,3025,16.8,37169,Stokes,"{""37169"": 96.53, ""37171"": 3.47}",Stokes|Surry,37169|37171,FALSE,FALSE,America/New_York
